fuente,feria,categoria,peso_rango,fecha,precio_kg_clp,precio_cabeza_clp,moneda,url_fuente,created_at
odepa,puerto_montt,vaquilla,350-450,2026-04-13,2428.00,971200.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.890014-04
odepa,talca,novillo_gordo,450-550,2026-04-13,2851.00,1425500.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.888539-04
odepa,talca,ternero,150-250,2026-04-13,3057.00,611400.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.890749-04
odepa,talca,toro,600-800,2026-04-13,2265.00,1585500.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.891335-04
odepa,talca,vaca_gorda,450-600,2026-04-13,2306.00,1210650.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.889515-04
odepa,talca,vaquilla,350-450,2026-04-13,2632.00,1052800.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.890136-04
odepa,temuco,novillo_gordo,450-550,2026-04-13,2692.00,1346000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.888179-04
odepa,temuco,ternero,150-250,2026-04-13,2936.00,587200.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.890396-04
odepa,temuco,toro,600-800,2026-04-13,2072.00,1450400.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.890988-04
odepa,temuco,vaca_gorda,450-600,2026-04-13,2202.00,1156050.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.888794-04
odepa,temuco,vaquilla,350-450,2026-04-13,2488.00,995200.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.889781-04
odepa,los_angeles,novillo_gordo,450-550,2026-04-06,2855.00,1427500.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.884966-04
odepa,los_angeles,ternero,150-250,2026-04-06,3052.00,610400.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.887089-04
odepa,los_angeles,toro,600-800,2026-04-06,2144.00,1500800.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.887697-04
odepa,los_angeles,vaca_gorda,450-600,2026-04-06,2300.00,1207500.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.885623-04
odepa,los_angeles,vaquilla,350-450,2026-04-06,2517.00,1006800.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.886498-04
odepa,osorno,novillo_gordo,450-550,2026-04-06,2654.00,1327000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.884697-04
odepa,osorno,ternero,150-250,2026-04-06,2957.00,591400.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.886852-04
odepa,osorno,toro,600-800,2026-04-06,2063.00,1444100.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.88746-04
odepa,osorno,vaca_gorda,450-600,2026-04-06,2146.00,1126650.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.885364-04
odepa,osorno,vaquilla,350-450,2026-04-06,2402.00,960800.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.886026-04
odepa,puerto_montt,novillo_gordo,450-550,2026-04-06,2674.00,1337000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.885101-04
odepa,puerto_montt,ternero,150-250,2026-04-06,2904.00,580800.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.887213-04
odepa,puerto_montt,toro,600-800,2026-04-06,2102.00,1471400.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.887819-04
odepa,puerto_montt,vaca_gorda,450-600,2026-04-06,2143.00,1125075.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.885755-04
odepa,puerto_montt,vaquilla,350-450,2026-04-06,2312.00,924800.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.886617-04
odepa,talca,novillo_gordo,450-550,2026-04-06,2808.00,1404000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.885232-04
odepa,talca,ternero,150-250,2026-04-06,3134.00,626800.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.887343-04
odepa,talca,toro,600-800,2026-04-06,2264.00,1584800.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.88794-04
odepa,talca,vaca_gorda,450-600,2026-04-06,2339.00,1227975.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.88589-04
odepa,talca,vaquilla,350-450,2026-04-06,2538.00,1015200.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.886734-04
odepa,temuco,novillo_gordo,450-550,2026-04-06,2718.00,1359000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.884833-04
odepa,temuco,ternero,150-250,2026-04-06,3003.00,600600.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.886969-04
odepa,temuco,toro,600-800,2026-04-06,2106.00,1474200.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.887578-04
odepa,temuco,vaca_gorda,450-600,2026-04-06,2266.00,1189650.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.885496-04
odepa,temuco,vaquilla,350-450,2026-04-06,2466.00,986400.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.886158-04
odepa,los_angeles,novillo_gordo,450-550,2026-03-30,2796.00,1398000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.881349-04
odepa,los_angeles,ternero,150-250,2026-03-30,3050.00,610000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.883638-04
odepa,los_angeles,toro,600-800,2026-03-30,2113.00,1479100.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.884296-04
odepa,los_angeles,vaca_gorda,450-600,2026-03-30,2237.00,1174425.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.882013-04
odepa,los_angeles,vaquilla,350-450,2026-03-30,2451.00,980400.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.882838-04
odepa,osorno,novillo_gordo,450-550,2026-03-30,2613.00,1306500.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.881067-04
odepa,osorno,ternero,150-250,2026-03-30,2914.00,582800.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.883375-04
odepa,osorno,toro,600-800,2026-03-30,2098.00,1468600.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.884036-04
odepa,osorno,vaca_gorda,450-600,2026-03-30,2179.00,1143975.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.881747-04
odepa,osorno,vaquilla,350-450,2026-03-30,2387.00,954800.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.882573-04
odepa,puerto_montt,novillo_gordo,450-550,2026-03-30,2661.00,1330500.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.88148-04
odepa,puerto_montt,ternero,150-250,2026-03-30,2787.00,557400.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.883771-04
odepa,puerto_montt,toro,600-800,2026-03-30,2057.00,1439900.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.884434-04
odepa,puerto_montt,vaca_gorda,450-600,2026-03-30,2144.00,1125600.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.882152-04
odepa,puerto_montt,vaquilla,350-450,2026-03-30,2317.00,926800.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.883098-04
odepa,talca,novillo_gordo,450-550,2026-03-30,2821.00,1410500.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.881614-04
odepa,talca,ternero,150-250,2026-03-30,3158.00,631600.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.883904-04
odepa,talca,toro,600-800,2026-03-30,2190.00,1533000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.884565-04
odepa,talca,vaca_gorda,450-600,2026-03-30,2353.00,1235325.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.882291-04
odepa,talca,vaquilla,350-450,2026-03-30,2493.00,997200.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.883235-04
odepa,temuco,novillo_gordo,450-550,2026-03-30,2688.00,1344000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.881195-04
odepa,temuco,ternero,150-250,2026-03-30,2946.00,589200.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.883505-04
odepa,temuco,toro,600-800,2026-03-30,2155.00,1508500.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.884164-04
odepa,temuco,vaca_gorda,450-600,2026-03-30,2198.00,1153950.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.881877-04
odepa,temuco,vaquilla,350-450,2026-03-30,2423.00,969200.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.882719-04
odepa,los_angeles,novillo_gordo,450-550,2026-03-23,2691.00,1345500.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.877442-04
odepa,los_angeles,ternero,150-250,2026-03-23,3045.00,609000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.87994-04
odepa,los_angeles,toro,600-800,2026-03-23,2162.00,1513400.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.880652-04
odepa,los_angeles,vaca_gorda,450-600,2026-03-23,2262.00,1187550.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.878262-04
odepa,los_angeles,vaquilla,350-450,2026-03-23,2428.00,971200.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.879012-04
odepa,osorno,novillo_gordo,450-550,2026-03-23,2734.00,1367000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.877168-04
odepa,osorno,ternero,150-250,2026-03-23,2907.00,581400.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.879446-04
odepa,osorno,toro,600-800,2026-03-23,2041.00,1428700.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.880377-04
odepa,osorno,vaca_gorda,450-600,2026-03-23,2209.00,1159725.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.877844-04
odepa,osorno,vaquilla,350-450,2026-03-23,2334.00,933600.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.878703-04
odepa,puerto_montt,novillo_gordo,450-550,2026-03-23,2557.00,1278500.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.877576-04
odepa,puerto_montt,ternero,150-250,2026-03-23,2850.00,570000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.880101-04
odepa,puerto_montt,toro,600-800,2026-03-23,2042.00,1429400.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.880785-04
odepa,puerto_montt,vaca_gorda,450-600,2026-03-23,2143.00,1125075.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.878393-04
odepa,puerto_montt,vaquilla,350-450,2026-03-23,2411.00,964400.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.879178-04
odepa,talca,novillo_gordo,450-550,2026-03-23,2868.00,1434000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.877711-04
odepa,talca,ternero,150-250,2026-03-23,3185.00,637000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.880236-04
odepa,talca,toro,600-800,2026-03-23,2176.00,1523200.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.88093-04
odepa,talca,vaca_gorda,450-600,2026-03-23,2259.00,1185975.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.878572-04
odepa,talca,vaquilla,350-450,2026-03-23,2486.00,994400.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.87931-04
odepa,temuco,novillo_gordo,450-550,2026-03-23,2672.00,1336000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.877306-04
odepa,temuco,ternero,150-250,2026-03-23,3010.00,602000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.879582-04
odepa,temuco,toro,600-800,2026-03-23,2056.00,1439200.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.880513-04
odepa,temuco,vaca_gorda,450-600,2026-03-23,2247.00,1179675.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.87813-04
odepa,temuco,vaquilla,350-450,2026-03-23,2380.00,952000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.87884-04
odepa,los_angeles,novillo_gordo,450-550,2026-03-16,2769.00,1384500.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.873909-04
odepa,los_angeles,ternero,150-250,2026-03-16,3008.00,601600.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.876091-04
odepa,los_angeles,toro,600-800,2026-03-16,2176.00,1523200.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.876774-04
odepa,los_angeles,vaca_gorda,450-600,2026-03-16,2294.00,1204350.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.874756-04
odepa,los_angeles,vaquilla,350-450,2026-03-16,2488.00,995200.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.875428-04
odepa,osorno,novillo_gordo,450-550,2026-03-16,2641.00,1320500.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.873638-04
odepa,osorno,ternero,150-250,2026-03-16,2905.00,581000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.875822-04
odepa,osorno,toro,600-800,2026-03-16,2118.00,1482600.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.876501-04
odepa,osorno,vaca_gorda,450-600,2026-03-16,2109.00,1107225.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.874483-04
odepa,osorno,vaquilla,350-450,2026-03-16,2424.00,969600.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.875158-04
odepa,puerto_montt,novillo_gordo,450-550,2026-03-16,2676.00,1338000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.874063-04
odepa,puerto_montt,ternero,150-250,2026-03-16,2887.00,577400.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.87623-04
odepa,puerto_montt,toro,600-800,2026-03-16,2070.00,1449000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.876896-04
odepa,puerto_montt,vaca_gorda,450-600,2026-03-16,2130.00,1118250.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.87489-04
odepa,puerto_montt,vaquilla,350-450,2026-03-16,2334.00,933600.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.875558-04
odepa,talca,novillo_gordo,450-550,2026-03-16,2866.00,1433000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.874345-04
odepa,talca,ternero,150-250,2026-03-16,3123.00,624600.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.876368-04
odepa,talca,toro,600-800,2026-03-16,2276.00,1593200.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.877035-04
odepa,talca,vaca_gorda,450-600,2026-03-16,2258.00,1185450.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.875024-04
odepa,talca,vaquilla,350-450,2026-03-16,2566.00,1026400.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.875691-04
odepa,temuco,novillo_gordo,450-550,2026-03-16,2631.00,1315500.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.873774-04
odepa,temuco,ternero,150-250,2026-03-16,2924.00,584800.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.875956-04
odepa,temuco,toro,600-800,2026-03-16,2111.00,1477700.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.87664-04
odepa,temuco,vaca_gorda,450-600,2026-03-16,2181.00,1145025.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.874627-04
odepa,temuco,vaquilla,350-450,2026-03-16,2469.00,987600.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.875295-04
odepa,los_angeles,novillo_gordo,450-550,2026-03-09,2689.00,1344500.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.870372-04
odepa,los_angeles,ternero,150-250,2026-03-09,3071.00,614200.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.872583-04
odepa,los_angeles,toro,600-800,2026-03-09,2140.00,1498000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.873243-04
odepa,los_angeles,vaca_gorda,450-600,2026-03-09,2168.00,1138200.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.871103-04
odepa,los_angeles,vaquilla,350-450,2026-03-09,2494.00,997600.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.871922-04
odepa,osorno,novillo_gordo,450-550,2026-03-09,2728.00,1364000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.870093-04
odepa,osorno,ternero,150-250,2026-03-09,2887.00,577400.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.872318-04
odepa,osorno,toro,600-800,2026-03-09,2063.00,1444100.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.872994-04
odepa,osorno,vaca_gorda,450-600,2026-03-09,2095.00,1099875.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.870802-04
odepa,osorno,vaquilla,350-450,2026-03-09,2406.00,962400.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.871648-04
odepa,puerto_montt,novillo_gordo,450-550,2026-03-09,2702.00,1351000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.870511-04
odepa,puerto_montt,ternero,150-250,2026-03-09,2814.00,562800.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.872712-04
odepa,puerto_montt,toro,600-800,2026-03-09,2042.00,1429400.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.873369-04
odepa,puerto_montt,vaca_gorda,450-600,2026-03-09,2130.00,1118250.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.871241-04
odepa,puerto_montt,vaquilla,350-450,2026-03-09,2330.00,932000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.872055-04
odepa,talca,novillo_gordo,450-550,2026-03-09,2792.00,1396000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.870643-04
odepa,talca,ternero,150-250,2026-03-09,3062.00,612400.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.872861-04
odepa,talca,toro,600-800,2026-03-09,2262.00,1583400.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.873501-04
